id;reference;type;amount_interface_board;start_time;finish_time;operator_id
1;Groenlandia Amarillo B2B;LOAN;19310;2021-09-26T21:23:57;2021-09-27T16:02:16;1
2;synergistic Gorro Ferrocarril;LOAN;47760;2021-09-27T02:27:57;2021-09-27T03:42:30;2
3;Guapa Agente;RENT;10123;2021-09-26T20:19:24;2021-09-27T13:14:36;3
4;Pasaje Central lateral;RENT;94218;2021-09-26T20:48:00;2021-09-27T00:27:10;4
5;Director Mobilidad;LOAN;48649;2021-09-26T20:52:36;2021-09-27T18:41:35;5
6;Tácticas;SALE;26043;2021-09-27T05:18:41;2021-09-27T06:53:13;6
7;array index Datos;SALE;45371;2021-09-27T11:09:34;2021-09-26T22:29:32;7
8;Futuro Pantalones;SALE;82150;2021-09-27T03:12:37;2021-09-27T13:31:21;8
9;neural Russian;SALE;7020;2021-09-27T16:49:15;2021-09-27T07:09:21;9
10;bus;RENT;99336;2021-09-27T04:06:26;2021-09-26T23:09:56;10
