id;location;state;start_time;finish_time;interface_board_id
1;IES;WARRANTY;2021-09-26T20:54:35;2021-09-27T02:45:00;1
2;IES;OPERATION;2021-09-27T05:08:50;2021-09-27T10:07:51;2
3;IES;OPERATION;2021-09-27T03:16:16;2021-09-27T16:19:15;3
4;IES;WARRANTY;2021-09-27T14:09:55;2021-09-27T10:02:21;4
5;IES;OPERATION;2021-09-26T22:26:12;2021-09-27T06:19:36;5
6;CLIENT;STOCK;2021-09-26T21:22:14;2021-09-27T16:36:15;6
7;CLIENT;WARRANTY;2021-09-27T19:23:39;2021-09-27T16:16:04;7
8;CLIENT;OPERATION;2021-09-27T10:21:59;2021-09-27T12:14:31;8
9;IES;IN_TRANSFER;2021-09-27T17:25:06;2021-09-26T21:00:00;9
10;IES;REPAIR;2021-09-27T10:09:47;2021-09-27T00:20:08;10
