id;colcircuitos_lot_number;order_amount;amount_received;remission;entry_date;ies_order_number
1;92441;42859;81692;Hormigon online Opcional;2021-09-27T14:44:31;86734
2;50831;22982;20908;Pelota contexto;2021-09-27T11:22:49;64945
3;1400;46135;40279;Avon;2021-09-27T15:46:52;39724
4;42232;13437;13543;Mobilidad;2021-09-27T03:50:10;98108
5;75586;60064;14027;Inversor technologies Bolivia;2021-09-27T04:43:44;97465
6;99792;6323;53534;Asturias Algodón middleware;2021-09-26T22:45:42;67450
7;63307;7524;54841;TCP;2021-09-27T09:24:54;94828
8;32149;45535;27634;Carretera;2021-09-27T04:52:22;41759
9;44645;90564;60391;array Enfocado;2021-09-27T00:16:30;45846
10;51050;27659;88959;override Bebes Increible;2021-09-27T15:07:02;19722
