id;provider_lot_number;amount_received;remission;entry_date;warranty_date;purchase_order_id
1;17681;50950;IB cross-platform;2023-08-16T19:48:54;2023-08-17T08:32:53;1
2;19033;24625;wireless synthesize Gran;2023-08-17T04:23:00;2023-08-17T15:03:36;2
3;7021;9619;Sabroso;2023-08-17T14:47:51;2023-08-17T03:29:45;3
4;8811;80294;1080p payment Negro;2023-08-16T23:39:09;2023-08-17T16:47:06;4
5;50055;96218;open-source;2023-08-17T03:51:54;2023-08-16T17:50:01;5
6;52115;53957;HDD;2023-08-17T06:01:43;2023-08-16T18:24:38;6
7;37914;79222;sistémica Rústico;2023-08-17T07:08:03;2023-08-17T02:38:05;7
8;67327;11528;monitor Franc;2023-08-17T13:39:00;2023-08-16T23:49:55;8
9;16256;42642;Intranet bypassing;2023-08-17T10:55:22;2023-08-16T20:05:05;9
10;40811;12564;AGP Borders Desarrollador;2023-08-17T03:01:53;2023-08-17T07:48:36;10
